Hour;StimatedHour;IdFlight;AirlineName;AirlinePlaneModel;AirlineIcaoPlane;FlightType;Observation;Remark;To;From
19/7/2021 12:00;19/7/2021 12:05;VV 1245;TAM;BOEING 737;IA123;Arrival;;CONFIRMED;;CUZCO
19/7/2021 13:00;19/7/2021 13:05;VV 1246;Amaszonas;BOEING 747;IA124;Arrival;;CONFIRMED;;ARICA
19/7/2021 14:00;19/7/2021 14:05;VV 1247;BOA;BOEING 777;IA125;Arrival;;CONFIRMED;;BS AIRES
19/7/2021 15:00;19/7/2021 15:05;VV 1248;TAM;BOEING 737;IA126;Arrival;;CONFIRMED;;MIAMI
19/7/2021 16:00;19/7/2021 16:05;VV 1249;Amaszonas;BOEING 747;IA127;Arrival;;CONFIRMED;;MIAMI
19/7/2021 17:00;19/7/2021 17:05;VV 1250;BOA;BOEING 777;IA128;Departure;ON BOARDING;;ASUNCION;
19/7/2021 18:00;19/7/2021 18:10;VV 1251;TAM;BOEING 737;IA129;Departure;DELAYED;;BRASILIA;
19/7/2021 19:00;19/7/2021 19:10;VV 1252;Amaszonas;BOEING 747;IA130;Departure;CLOSED;;MONTEVIDEO;
19/7/2021 20:00;19/7/2021 20:10;VV 1253;BOA;BOEING 777;IA131;Departure;CLOSED;;BOGOTA;
19/7/2021 21:00;19/7/2021 21:10;VV 1254;TAM;BOEING 737;IA132;Departure;CLOSED;;QUITO;
